"Джанго освобожденный", реж. Квентин Тарантино (2012)
"От заката до рассвета", реж. Роберт Родригес (сценарий Квентина Тарантино) (1996)
"Джеки Браун", реж. Квентин Тарантино (1997)
"Железный человек", реж. Джон Фавро (2008)
"Мстители: Эра Альтрона", реж. Джосс Уидон (2015)
"Доктор Стрэндж", реж. Скотт Дерриксон (2016)
"Омерзительная восьмерка", реж. Квентин Тарантино (2015)
"Однажды... в Голливуде", реж. Квентин Тарантино (2019)
"Невероятный Халк", реж. Луи Летерье (2008)
"Бешеные псы", реж. Квентин Тарантино (1992)
"Убить Билла: 1-я часть", реж. Квентин Тарантино (2003)
"Капитан Америка: Гражданская война", реж. Антонио Руссо и Джо Руссо (2016)
"Тор: Царство тьмы", реж. Алан Тейлор (2013)
"Тор: Рагнарёк", реж. Тайка Вайтити (2017)
"Убить Билла: 2-я часть", реж. Квентин Тарантино (2004)
"Железный человек 2", реж. Джон Фавро (2010)
"Тор", реж. Кеннет Брана (2011)
"Криминальное чтиво", реж. Квентин Тарантино (1994)
"Первый мститель: Другая война", реж. Антонио Руссо и Джо Руссо (2014)
"Стражи Галактики. Часть 2", реж. Джеймс Ганн (2017)
"Стражи Галактики", реж. Джеймс Ганн (2014)
"Человек-паук: Возвращение домой", реж. Джон Уоттс (2017)
"Человек-муравей и Оса", реж. Пейтон Рид (2018)
"Капитан Марвел", реж. Анна Боден и Райан Флек (2019)
"Человек-муравей", реж. Пейтон Рид (2015)
"Чёрная Пантера", реж. Райан Куглер (2018)
"Мстители: Финал", реж. Антонио Руссо и Джо Руссо (2019)
"Мстители: Война бесконечности", реж. Антонио Руссо и Джо Руссо (2018)
